# Total Bytes Sent
# simtime, fwdTotalBytesSent
109600.000000, 302841103442
109700.000000, 303030256189
109800.000000, 303103838690
109900.000000, 303217870162
110000.000000, 303304534829
110100.000000, 303387456999
110200.000000, 303482155899
110300.000000, 303640891539
110400.000000, 303732434882
110500.000000, 303852925342
110600.000000, 304062242699
110700.000000, 304536547932
110800.000000, 304802848548
110900.000000, 305019874534
111000.000000, 305245771004
111100.000000, 305376779913
111200.000000, 305562541512
111300.000000, 305621216377
111400.000000, 305744696900
111500.000000, 305915067564
111600.000000, 306373265175
111700.000000, 306636840871
111800.000000, 306872823734
111900.000000, 307011260282
112000.000000, 307150568558
112100.000000, 307260048147
112200.000000, 307375018916
112300.000000, 307519718517
112400.000000, 307625298945
112500.000000, 307700080891
112600.000000, 307902919249
112700.000000, 307964741953
112800.000000, 308085535265
112900.000000, 308209245792
113000.000000, 308304894261
113100.000000, 308472966227
113200.000000, 308565908935
113300.000000, 308692195148
113400.000000, 308801914795
113500.000000, 308888291018
113600.000000, 308978523962
113700.000000, 309080582393
113800.000000, 309185806206
113900.000000, 309350038902
114000.000000, 309491007092
114100.000000, 309585512454
114200.000000, 309691177970
114300.000000, 309761890301
114400.000000, 309860446485
114500.000000, 309950231079
114600.000000, 310050926266
114700.000000, 310188334946
114800.000000, 310325492528
114900.000000, 310479663336
115000.000000, 310636917769
115100.000000, 310783123785
115200.000000, 310993110122
115300.000000, 311108023828
115400.000000, 311429874583
115500.000000, 311810491477
115600.000000, 312166133353
115700.000000, 312410849142
115800.000000, 312625787330
115900.000000, 312731827344
116000.000000, 312906541514
116100.000000, 313033755926
