# Total Contact Count
# simtime, linkContactCount
130500.000000, 290992
130600.000000, 291173
130700.000000, 291362
130800.000000, 291604
130900.000000, 291840
131000.000000, 292094
131100.000000, 292305
131200.000000, 292535
131300.000000, 292716
131400.000000, 292932
131500.000000, 293123
131600.000000, 293320
131700.000000, 293524
131800.000000, 293745
131900.000000, 293945
132000.000000, 294141
132100.000000, 294334
132200.000000, 294558
132300.000000, 294750
132400.000000, 294939
132500.000000, 295119
132600.000000, 295306
132700.000000, 295473
132800.000000, 295633
132900.000000, 295805
133000.000000, 295965
133100.000000, 296150
133200.000000, 296369
133300.000000, 296574
133400.000000, 296760
133500.000000, 297001
133600.000000, 297161
133700.000000, 297343
133800.000000, 297537
133900.000000, 297691
134000.000000, 297866
134100.000000, 298038
134200.000000, 298194
134300.000000, 298367
134400.000000, 298556
134500.000000, 298739
134600.000000, 298912
134700.000000, 299065
134800.000000, 299266
134900.000000, 299496
135000.000000, 299695
135100.000000, 299854
135200.000000, 300026
135300.000000, 300209
135400.000000, 300376
135500.000000, 300592
135600.000000, 300812
135700.000000, 301002
135800.000000, 301142
135900.000000, 301315
136000.000000, 301451
136100.000000, 301608
136200.000000, 301779
136300.000000, 301923
136400.000000, 302040
136500.000000, 302185
136600.000000, 302331
136700.000000, 302488
136800.000000, 302643
136900.000000, 302815
137000.000000, 302954
137100.000000, 303101
137200.000000, 303195
137300.000000, 303309
137400.000000, 303462
137500.000000, 303606
137600.000000, 303737
137700.000000, 303874
137800.000000, 303991
137900.000000, 304111
138000.000000, 304229
138100.000000, 304373
138200.000000, 304498
138300.000000, 304644
138400.000000, 304801
138500.000000, 304973
138600.000000, 305132
138700.000000, 305300
138800.000000, 305450
138900.000000, 305606
139000.000000, 305726
